GeneID B_mori C_ce GeneIDcce D_pl GeneIDdpl H_mel GeneIDhmel L_ac GeneIDlac L_sin GeneIDlsin P_ma GeneIDpma P_se GeneIDpse
NM_001043315.1 57.772 48.478 cce121748.3.mRNA 54.687 DPOGS206861-TA 60.262 HMEL033379g1.t1 58.291 lac949.1.mRNA 58.165 leptidea_sinapisT00000004941 57.372 KPJ13008.1 54.697 pse11427.1
NM_001043365.1_1 55.460 52.860 cce1144.9.mRNA 58.045 DPOGS212029-TA 58.020 HMEL030331g1.t1 53.458 lac960.5.mRNA 54.104 leptidea_sinapisT00000015498 58.902 KPJ13907.1 56.109 pse1745.5
NM_001043369.1 57.188 54.981 cce853.8.mRNA 53.276 DPOGS209792-TA 50.613 HMEL008414g1.t1 55.817 lac1642.17.mRNA 57.838 leptidea_sinapisT00000002811 54.025 KPJ05970.1 55.732 pse1659.4
NM_001043371.1 41.756 51.915 cce8382.2.mRNA 49.398 DPOGS209814-TA 55.555 HMEL006763-RA 54.068 lac727.34.mRNA 61.000 leptidea_sinapisT00000006785 56.922 KPJ06010.1 61.000 pse468.16
NM_001043372.1 46.441 50.968 cce2291.12.mRNA 46.839 DPOGS208844-TA 47.463 HMEL031247g1.t1 45.416 lac1982.3.mRNA 48.119 leptidea_sinapisT00000012616 46.592 KPJ14331.1 43.857 pse88.2
NM_001043375.1 59.193 55.504 cce5463.6.mRNA 52.839 DPOGS212964-TA 52.113 HMEL005461-RA 60.994 lac1587.5.mRNA 52.760 leptidea_sinapisT00000008473 51.046 KPJ15870.1 56.945 pse1117.10
NM_001043382.1 51.085 43.960 cce19999.2.mRNA 54.570 DPOGS207191-TA 49.130 HMEL012202g1.t1 49.658 lac161866.8.mRNA 52.029 leptidea_sinapisT00000017600 52.463 KPJ09136.1 45.135 pse1789.15
NM_001043383.2 57.141 56.398 cce864.11.mRNA 57.420 DPOGS207638-TA 55.635 HMEL011986g1.t1 54.496 lac161998.35.mRNA 54.446 leptidea_sinapisT00000013254 56.282 KPJ11860.1 54.349 pse185.8
NM_001043387.1 53.162 54.761 cce1402.3.mRNA 42.868 DPOGS203501-TA 50.150 HMEL006121g1.t1 37.495 lac700.37.mRNA 53.068 leptidea_sinapisT00000005564 39.344 KPJ17317.1 40.108 pse1136.5
NM_001043388.1 48.225 38.612 cce2568.8.mRNA 53.441 DPOGS203816-TA 43.798 HMEL013327g1.t1 48.340 lac580.61.mRNA 55.781 leptidea_sinapisT00000009354 55.241 KPJ16739.1 44.515 pse289.35
NM_001043395.1 58.213 53.698 cce6562.4.mRNA 56.462 DPOGS207310-TA 60.214 HMEL037637g1.t1 56.928 lac406.21.mRNA 49.183 leptidea_sinapisT00000018799 57.120 KPJ12333.1 53.146 pse854.9
NM_001043411.1 55.208 48.286 cce2279.8.mRNA 48.760 DPOGS213899-TA 46.788 HMEL006062g1.t1 48.031 lac862.6.mRNA 53.022 leptidea_sinapisT00000018593 43.856 KPJ17593.1 48.142 pse1601.6
NM_001043413.1 57.459 42.968 cce4986.2.mRNA 61.000 DPOGS210032-TA 54.630 HMEL017996g1.t1 55.874 lac1307.38.mRNA 52.306 leptidea_sinapisT00000019333 49.179 KPJ10218.1 45.852 pse1879.26
NM_001043416.1 55.393 46.531 cce303356.1.mRNA 58.196 DPOGS202128-TA 56.661 HMEL035233g1.t1 56.257 lac1082.22.mRNA 53.084 leptidea_sinapisT00000013433 51.953 KPJ07895.1 55.483 pse1126.2
NM_001043419.1 40.883 35.749 cce3911.5.mRNA 53.780 DPOGS203334-TA 46.656 HMEL013498g1.t1 30.808 lac53.11.mRNA 44.071 leptidea_sinapisT00000020414 53.209 KPJ09054.1 51.722 pse802.1
NM_001043432.1 55.221 55.892 cce7151.2.mRNA 53.179 DPOGS209686-TA 51.474 HMEL008461g1.t1 47.538 lac494.34.mRNA 53.366 leptidea_sinapisT00000008440 45.427 KPJ09293.1 42.701 pse729.1
NM_001043436.1 59.730 61.000 cce957.5.mRNA 56.623 DPOGS214058-TA 52.021 HMEL014060g2.t1 48.712 lac702.8.mRNA 53.441 leptidea_sinapisT00000010342 51.372 KPJ11207.1 61.000 pse147.5
NM_001043437.1 53.249 49.588 cce2464.4.mRNA 51.320 DPOGS201136-TA 54.891 HMEL013736g1.t1 53.394 lac442.7.mRNA 57.197 leptidea_sinapisT00000011975 39.303 KPJ12391.1 51.995 pse2302.1
NM_001043444.1 52.388 61.000 cce8385.3.mRNA 57.706 DPOGS211038-TA 49.752 HMEL003386g1.t1 60.751 lac390.3.mRNA 57.418 leptidea_sinapisT00000017749 58.131 KPJ10114.1 60.006 pse1456.5
NM_001043447.1 49.636 54.932 cce7151.4.mRNA 46.525 DPOGS209670-TA 48.841 HMEL008463g1.t1 57.784 lac494.36.mRNA 57.749 leptidea_sinapisT00000016231 43.063 KPJ09319.1 45.572 pse729.2
NM_001043449.1 55.081 48.924 cce4449.12.mRNA 51.330 DPOGS200588-TA 55.830 HMEL002921g1.t1 51.864 lac544.40.mRNA 61.000 leptidea_sinapisT00000005018 59.092 KPJ16138.1 49.626 pse1327.7
NM_001043452.1 57.757 59.516 cce1484.10.mRNA 58.350 DPOGS204627-TA 54.941 HMEL012660g1.t1 38.936 lac143.16.mRNA 55.655 leptidea_sinapisT00000020259 48.085 KPJ11072.1 54.142 pse1089.16
NM_001043453.1 54.824 53.072 cce320.1.mRNA 55.198 DPOGS208707-TA 57.557 HMEL015250g1.t1 51.857 lac1099.3.mRNA 58.711 leptidea_sinapisT00000004225 58.401 KPJ17746.1 53.146 pse4234.2
NM_001043464.1 59.649 58.366 cce3058.1.mRNA 57.755 DPOGS203055-TA 58.838 HMEL016140g1.t1 59.833 lac357.27.mRNA 58.876 leptidea_sinapisT00000018147 59.901 KPJ06134.1 59.581 pse2390.19
NM_001043468.1 55.388 56.396 cce303344.2.mRNA 55.648 DPOGS200623-TA 52.313 HMEL035972g1.t1 56.435 lac380.58.mRNA 53.513 leptidea_sinapisT00000006386 56.390 KPJ18693.1 55.066 pse470.17
NM_001043469.1 46.322 44.420 cce3229.4.mRNA 43.051 DPOGS212925-TA 41.184 HMEL037509g1.t1 48.593 lac1131.14.mRNA 41.088 leptidea_sinapisT00000014254 44.742 KPJ08018.1 44.459 pse8961.12
