gene_ID length
NM_001043315.1 263
NM_001043369.1 714
NM_001043375.1 53
NM_001043383.2 336
NM_001043387.1 393
NM_001043388.1 239
NM_001043395.1 229
NM_001043411.1 335
NM_001043413.1 211
NM_001043416.1 86
NM_001043432.1 62
NM_001043437.1 257
NM_001043444.1 229
NM_001043447.1 507
NM_001043449.1 221
NM_001043452.1 193
NM_001043453.1 376
NM_001043464.1 305
NM_001043468.1 369
NM_001043469.1 314
NM_001043473.1 572
NM_001043475.1 73
NM_001043480.1 189
NM_001043485.1 168
NM_001043492.1 162
NM_001043506.1 350
NM_001043507.1 174
NM_001043508.1 178
NM_001043516.1 374
NM_001043520.1 187
NM_001043522.1 130
NM_001043526.1 357
NM_001043530.2 124
NM_001043531.1 358
NM_001043532.1 308
NM_001043534.1 113
NM_001043535.2 122
NM_001043543.1 296
NM_001043549.1 666
NM_001043553.1 324
NM_001043583.1 110
NM_001043585.1 281
NM_001043589.1 181
NM_001043594.1 288
NM_001043595.1 184
NM_001043609.2 87
NM_001043610.1 392
NM_001043619.1 121
NM_001043622.1 288
NM_001043629.1 217
NM_001043634.1 287
NM_001043637.1 88
NM_001043643.1 96
NM_001043646.1 151
NM_001043649.1 151
NM_001043655.1 122
NM_001043658.1 287
NM_001043661.1 398
NM_001043670.1 260
NM_001043673.1 90
NM_001043676.1 245
NM_001043685.1 164
NM_001043688.1 183
NM_001043691.1 200
NM_001043694.1 102
NM_001043706.1 393
NM_001043721.1 222
NM_001043730.1 271
NM_001043746.1 371
NM_001043750.2 129
NM_001043752.1 183
NM_001043754.1 177
NM_001043756.4 186
NM_001043760.1 146
NM_001043762.1 140
NM_001043766.1 155
NM_001043776.1 122
NM_001043780.1 118
NM_001043788.1 186
NM_001043790.1 221
NM_001043792.1 113
NM_001043798.1 174
NM_001043800.1 194
NM_001043802.1 133
NM_001043804.2 126
NM_001043808.1 143
NM_001043824.1 90
NM_001043834.1 212
NM_001043836.1 165
NM_001043844.1 1252
NM_001043850.1 349
NM_001043858.1 195
NM_001043860.1 1184
NM_001043864.1 212
NM_001043870.1 674
NM_001043872.1 318
NM_001043874.1 227
NM_001043876.1 271
NM_001043878.2 416
NM_001043880.1 274
NM_001043882.1 259
NM_001043899.2 132
NM_001043913.1 525
NM_001043917.1 333
NM_001043925.2 154
NM_001043939.1 306
NM_001043941.1 240
NM_001043943.2 336
NM_001043949.1 462
NM_001043953.2 171
NM_001043965.1 269
NM_001043969.1 328
NM_001043971.1 279
NM_001043975.1 261
NM_001043977.1 199
NM_001043983.1 65
NM_001043985.1 369
NM_001043989.1 38
NM_001044011.1 1703
NM_001044019.1 315
NM_001044037.1 294
NM_001044043.1 145
NM_001044055.1 60
NM_001044057.1 104
NM_001044059.1 90
NM_001044063.2 93
NM_001044069.1_2 467
NM_001044073.1 137
NM_001044075.1 255
NM_001044077.1 312
NM_001044079.1 132
NM_001044087.1 241
NM_001044091.1 217
NM_001044099.1 261
NM_001044101.1 252
NM_001044105.1 129
NM_001044111.1 149
NM_001044121.1 143
NM_001044123.2 83
NM_001044131.1 228
NM_001044137.1 493
NM_001044145.1 161
NM_001044147.1 181
NM_001044163.1 396
NM_001044179.1 135
NM_001044183.1 144
NM_001044191.1 380
NM_001044195.1 124
NM_001044199.1 171
NM_001044203.1 125
NM_001044213.1 202
