GeneID L_accius P_sennae L_sinapis C_cecrops D_plexippus H_melpomene P_machaon B_mori
NM_001043315.1 0.01622 0.02910 0.02718 0.01840 0.00815 0.01664 0.02491 0.04310
NM_001043369.1 0.04186 0.04201 0.04460 0.02427 0.06526 0.10075 0.00954 0.03725
NM_001043371.1 0.13788 0.05650 0.00136 0.03521 0.56714 0.01941 0.00118 0.01461
NM_001043372.1 0.00652 0.00683 0.01313 0.00990 0.01157 0.00213 0.00605 0.01520
NM_001043375.1 0.37162 0.03415 0.01409 0.02081 0.42222 0.03017 0.06293 999.00000
NM_001043382.1 0.03373 0.05718 0.04149 0.06206 0.01556 0.07226 0.06125 0.07598
NM_001043383.2 0.02139 0.00437 0.01617 0.00498 0.01538 0.02408 0.00430 0.02173
NM_001043387.1 0.05606 0.05271 0.03481 0.07059 0.07455 0.03248 0.06059 0.03148
NM_001043388.1 0.00836 0.01012 0.03413 0.02123 0.01218 0.03691 0.00937 0.02938
NM_001043395.1 0.04120 0.03034 0.07016 0.03667 0.02045 0.03017 0.02352 0.03351
NM_001043411.1 0.01267 0.02673 0.01636 0.00812 0.00704 0.00753 0.01317 0.01239
NM_001043413.1 0.04392 0.25104 0.06518 0.13458 0.03895 0.00117 0.13064 0.19247
NM_001043416.1 0.07735 0.12366 0.00189 0.07869 0.01300 0.03533 0.07901 0.12179
NM_001043419.1 0.00010 0.00141 0.00010 29.87088 2.65512 0.00010 0.00306 0.00010
NM_001043432.1 0.04509 0.00010 0.00519 0.18750 0.03162 0.05739 0.00010 0.00010
NM_001043436.1 0.04536 0.00410 0.00231 0.08248 0.00097 0.33359 0.01586 0.05192
NM_001043437.1 0.07590 0.05221 0.17248 0.07457 0.07530 0.04659 0.00140 0.04146
NM_001043444.1 0.00602 0.01331 0.02767 0.00231 0.00763 999.00000 0.02583 0.00958
NM_001043447.1 0.03236 0.06307 0.04162 0.15628 0.02014 0.02764 0.02889 0.00651
NM_001043449.1 0.03652 0.05581 0.05667 0.07835 0.04774 0.06546 0.02266 0.04769
NM_001043452.1 288.25761 30.83452 0.00045 9.99531 0.00033 0.01239 0.03301 0.00054
NM_001043453.1 0.03332 0.04467 0.02315 0.04388 0.01796 0.01109 0.08823 0.02992
NM_001043464.1 0.02821 0.01785 0.04674 0.02363 0.01796 0.03744 0.03676 0.05092
NM_001043468.1 0.05263 0.03586 0.02619 0.05550 0.02851 0.05029 0.02987 0.06960
NM_001043469.1 0.01746 0.02358 0.01387 0.03284 0.03648 0.02186 0.01617 0.03246
NM_001043473.1 0.08660 0.07187 0.07806 0.06782 0.06841 0.06209 0.04479 0.05959
NM_001043475.1 999.00000 0.01125 0.37716 0.09190 0.26668 0.03533 999.00000 0.00795
NM_001043480.1 0.08098 0.00155 0.05709 0.15157 0.00433 0.00217 0.00228 0.07298
NM_001043482.1 0.63322 0.00113 0.00960 0.00423 0.03796 0.10472 0.00112 0.00289
NM_001043485.1 0.04272 0.03454 0.06966 0.13179 0.04272 0.03679 0.01521 0.05220
NM_001043492.1 0.00856 0.04471 0.00598 0.00019 0.03472 0.00819 0.04774 0.00644
NM_001043494.1 0.03984 0.08152 0.00524 0.03654 0.01361 0.01408 0.00545 0.00650
NM_001043506.1 0.01130 0.05240 0.03423 0.06470 0.03519 0.01662 0.01728 0.02477
NM_001043507.1 0.04885 0.78281 0.00355 0.01415 0.02952 0.00010 0.02188 0.03815
NM_001043508.1 0.00356 0.00190 0.00010 0.00472 0.00010 0.00010 0.00442 0.01419
NM_001043516.1 0.05210 0.09334 0.06734 0.17195 0.04490 0.07682 0.05542 0.07030
NM_001043520.1 0.00010 0.00454 0.01053 0.00010 0.00010 0.00010 0.00794 0.00451
NM_001043522.1 999.00000 0.09010 0.19518 0.00368 0.00179 0.06752 0.12108 0.11835
NM_001043526.1 0.02752 0.03363 0.03230 0.01644 0.01623 0.03497 0.01117 0.04323
NM_001043530.2 0.00829 0.03931 0.05551 0.09619 0.03953 0.04332 0.09657 0.00603
NM_001043531.1 0.01240 0.00432 0.01201 0.02002 0.00970 0.00941 0.01315 0.00961
NM_001043532.1 0.05290 0.06144 0.03018 0.07693 0.07126 0.06772 0.09102 0.03042
NM_001043534.1 0.05966 0.25201 0.04408 0.02507 0.02164 0.00558 0.29243 0.03537
NM_001043535.2 0.02552 0.04966 0.03822 0.04248 0.12561 0.02052 0.05742 0.03945
NM_001043542.1 0.01498 0.00227 568.44746 0.02452 432.39321 0.00118 0.01058 0.03395
NM_001043543.1 0.04300 0.02796 0.04285 0.02078 0.03366 0.01999 0.02150 0.02857
NM_001043549.1 0.05607 0.05110 0.04405 0.05349 0.03749 0.04552 0.04389 0.04282
NM_001043553.1 0.04564 0.01271 0.04636 0.02855 0.02105 0.00581 0.04569 0.04739
NM_001043568.1 0.07621 0.00188 0.00614 0.01468 0.02710 0.13796 0.01865 0.01399
