GeneID L_accius P_sennae L_sinapis C_cecrops D_plexippus H_melpomene P_machaon B_mori
NM_001043315.1 1.240620 0.611671 1.360304 1.262686 1.786217 1.169838 1.688841 1.345557
NM_001043369.1 2.741947 1.795539 2.852020 4.561806 2.561059 1.267299 9.699106 3.392496
NM_001043371.1 1.090857 1.672920 68.481693 5.555520 0.190209 4.008641 68.519922 8.671327
NM_001043372.1 62.100778 0.422571 0.720294 0.608157 0.597605 0.446726 0.715377 0.885934
NM_001043375.1 0.633600 1.748155 3.372005 14.169451 0.298951 4.665197 7.940438 0.000028
NM_001043382.1 0.932446 0.561465 0.929955 0.779403 1.281115 0.963475 0.934682 0.995177
NM_001043383.2 0.798305 0.901251 0.810241 1.211256 1.158125 0.581143 1.174994 1.040177
NM_001043387.1 0.790758 0.509092 1.063016 0.917305 0.688693 0.787719 0.700602 1.207337
NM_001043388.1 4.022607 2.419227 1.895275 3.555016 1.376250 1.569233 3.771503 2.218137
NM_001043395.1 0.958180 1.142593 0.533319 1.417728 0.971500 0.746246 1.775418 0.996015
NM_001043411.1 0.710400 0.566966 1.152738 0.977733 1.625562 1.098280 1.381026 1.068783
NM_001043413.1 2.167751 0.279766 2.238887 1.312779 4.015115 73.565883 0.782609 1.168629
NM_001043416.1 0.951297 0.258447 28.107811 0.480880 1.532770 0.883198 0.580189 1.110203
NM_001043419.1 0.218455 10.769632 1.173254 0.000176 0.000655 2.703171 5.598021 0.000005
NM_001043432.1 0.906889 1.207024 3.193624 0.370822 0.257793 0.138588 0.461199 0.647715
NM_001043436.1 3.339775 64.190959 64.520194 2.311516 64.771343 0.637076 8.064615 2.822983
NM_001043437.1 1.433856 0.963511 0.798778 1.741302 1.039952 1.656884 78.442324 2.341470
NM_001043444.1 5.140695 2.215404 1.549780 22.753582 4.814277 0.000019 1.037209 5.262250
NM_001043447.1 1.707454 0.368855 1.682974 0.386042 1.101211 1.532588 0.805046 5.039715
NM_001043449.1 2.229108 2.202511 2.381329 1.022070 1.972877 1.865844 3.276983 2.054336
NM_001043452.1 0.000073 0.001046 53.427473 0.003618 30.145388 4.062199 1.237463 60.430525
NM_001043453.1 0.558199 0.462804 0.965530 0.732232 1.102881 1.232939 0.888552 0.572278
NM_001043464.1 1.350449 1.686026 1.555900 1.688918 1.484944 1.313662 1.521006 1.677222
NM_001043468.1 1.586093 1.255895 2.368359 1.948209 1.328730 1.050788 2.155812 1.260463
NM_001043469.1 6.456890 3.580518 9.126144 4.034978 2.588321 5.373946 5.733800 4.108127
NM_001043473.1 0.824534 0.657811 0.873581 0.931646 1.305380 1.224634 1.044107 2.009464
NM_001043475.1 0.000049 1.209898 0.175501 1.208936 0.452842 2.659047 0.000038 7.673811
NM_001043480.1 2.291225 67.743114 1.742142 2.043655 67.169942 67.613892 67.592460 2.155149
NM_001043482.1 0.183533 66.317314 6.213669 65.709173 2.462455 1.135537 66.318441 65.969385
NM_001043485.1 0.385606 0.829778 0.858026 0.661733 1.046145 0.938580 0.604114 0.875781
NM_001043492.1 1.895307 0.664227 4.613751 72.314638 0.687160 2.690228 0.687058 1.523225
NM_001043494.1 0.449527 0.544763 75.641351 0.632651 1.027425 1.502394 75.585206 1.851305
NM_001043506.1 2.262289 0.504915 0.813735 0.902421 0.831500 1.132562 1.714424 1.894460
