GeneID  node1 L_accius node2 node3 P_sennae L_sinapis node4 C_cecrops node5 D_plexippus H_melpomene P_machaon B_mori
NM_001043315.1  0.00487 0.01622 999.00000 0.10382 0.02910 0.02718 470.81801 0.01840 691.14818 0.00815 0.01664 0.02491 0.04310
NM_001043369.1  365.99083 0.04186 561.12554 0.14730 0.04201 0.04460 139.11575 0.02427 0.13240 0.06526 0.10075 0.00954 0.03725
NM_001043371.1  0.00030 0.13788 0.01775 999.00000 0.05650 0.00136 999.00000 0.03521 999.00000 0.56714 0.01941 0.00118 0.01461
NM_001043372.1  0.04714 0.00652 100.10285 0.02241 0.00683 0.01313 0.00010 0.00990 0.03216 0.01157 0.00213 0.00605 0.01520
NM_001043375.1  0.11618 0.37162 0.07127 329.62081 0.03415 0.01409 0.00010 0.02081 0.00010 0.42222 0.03017 0.06293 999.00000
NM_001043382.1  165.01146 0.03373 0.03396 0.13921 0.05718 0.04149 999.00000 0.06206 0.01519 0.01556 0.07226 0.06125 0.07598
NM_001043383.2  0.00010 0.02139 23.42197 0.00010 0.00437 0.01617 999.00000 0.00498 0.00359 0.01538 0.02408 0.00430 0.02173
NM_001043387.1  211.66576 0.05606 259.89250 499.38095 0.05271 0.03481 0.05484 0.07059 152.72714 0.07455 0.03248 0.06059 0.03148
NM_001043388.1  778.61590 0.00836 999.00000 0.00960 0.01012 0.03413 999.00000 0.02123 0.01207 0.01218 0.03691 0.00937 0.02938
NM_001043395.1  170.96499 0.04120 0.02560 0.03237 0.03034 0.07016 288.76670 0.03667 0.03945 0.02045 0.03017 0.02352 0.03351
NM_001043411.1  0.02097 0.01267 0.00010 0.01006 0.02673 0.01636 0.00010 0.00812 0.00717 0.00704 0.00753 0.01317 0.01239
NM_001043413.1  0.04849 0.04392 0.04823 134.06619 0.25104 0.06518 999.00000 0.13458 14.20103 0.03895 0.00117 0.13064 0.19247
NM_001043416.1  0.00010 0.07735 58.48595 0.01937 0.12366 0.00189 14.22382 0.07869 0.07370 0.01300 0.03533 0.07901 0.12179
NM_001043419.1  0.00010 0.00010 0.00010 12.01781 0.00141 0.00010 0.00010 29.87088 0.00298 2.65512 0.00010 0.00306 0.00010
NM_001043432.1  999.00000 0.04509 0.00010 0.00010 0.00010 0.00519 0.00010 0.18750 0.00010 0.03162 0.05739 0.00010 0.00010
NM_001043436.1  999.00000 0.04536 999.00000 999.00000 0.00410 0.00231 999.00000 0.08248 0.00608 0.00097 0.33359 0.01586 0.05192
NM_001043437.1  1.11258 0.07590 17.67826 0.13838 0.05221 0.17248 7.07304 0.07457 2.01820 0.07530 0.04659 0.00140 0.04146
NM_001043444.1  999.00000 0.00602 0.01330 0.00285 0.01331 0.02767 999.00000 0.00231 0.00498 0.00763 999.00000 0.02583 0.00958
NM_001043447.1  0.04413 0.03236 999.00000 999.00000 0.06307 0.04162 0.00428 0.15628 0.00332 0.02014 0.02764 0.02889 0.00651
NM_001043449.1  999.00000 0.03652 999.00000 0.03760 0.05581 0.05667 999.00000 0.07835 999.00000 0.04774 0.06546 0.02266 0.04769
NM_001043452.1  153.60728 288.25761 0.00015 0.00010 30.83452 0.00045 0.00820 9.99531 35.52979 0.00033 0.01239 0.03301 0.00054
NM_001043453.1  0.12644 0.03332 0.04452 999.00000 0.04467 0.02315 27.82767 0.04388 0.00763 0.01796 0.01109 0.08823 0.02992
NM_001043464.1  999.00000 0.02821 999.00000 819.53689 0.01785 0.04674 999.00000 0.02363 0.05831 0.01796 0.03744 0.03676 0.05092
NM_001043468.1  308.30877 0.05263 34.32671 0.02705 0.03586 0.02619 0.01883 0.05550 0.01464 0.02851 0.05029 0.02987 0.06960
NM_001043469.1  999.00000 0.01746 999.00000 999.00000 0.02358 0.01387 999.00000 0.03284 999.00000 0.03648 0.02186 0.01617 0.03246
NM_001043473.1  0.20070 0.08660 0.05375 0.12388 0.07187 0.07806 0.09492 0.06782 0.07904 0.06841 0.06209 0.04479 0.05959
NM_001043475.1  0.00356 999.00000 0.01168 0.00644 0.01125 0.37716 999.00000 0.09190 0.02312 0.26668 0.03533 999.00000 0.00795
NM_001043480.1  137.83855 0.08098 284.88229 180.12299 0.00155 0.05709 87.80525 0.15157 20.28962 0.00433 0.00217 0.00228 0.07298
NM_001043482.1  0.00052 0.63322 450.07876 440.87711 0.00113 0.00960 0.00086 0.00423 0.00090 0.03796 0.10472 0.00112 0.00289
NM_001043485.1  0.53449 0.04272 0.27740 0.12890 0.03454 0.06966 0.80188 0.13179 1.97933 0.04272 0.03679 0.01521 0.05220
NM_001043492.1  61.99516 0.00856 0.00010 0.02801 0.04471 0.00598 1.40048 0.00019 0.00010 0.03472 0.00819 0.04774 0.00644
NM_001043494.1  0.00559 0.03984 37.38492 422.81969 0.08152 0.00524 0.00010 0.03654 0.00659 0.01361 0.01408 0.00545 0.00650
NM_001043506.1  53.27205 0.01130 0.05161 0.04088 0.05240 0.03423 0.00010 0.06470 0.04135 0.03519 0.01662 0.01728 0.02477
NM_001043507.1  0.00010 0.04885 0.06108 0.00010 0.78281 0.00355 0.00010 0.01415 0.00010 0.02952 0.00010 0.02188 0.03815
NM_001043508.1  0.00010 0.00356 3.10283 0.00010 0.00190 0.00010 0.00010 0.00472 0.00941 0.00010 0.00010 0.00442 0.01419
NM_001043516.1  999.00000 0.05210 999.00000 0.02022 0.09334 0.06734 0.32011 0.17195 0.15015 0.04490 0.07682 0.05542 0.07030
NM_001043520.1  0.00010 0.00010 0.01867 0.00010 0.00454 0.01053 0.08921 0.00010 0.00010 0.00010 0.00010 0.00794 0.00451
NM_001043522.1  0.02788 999.00000 0.01190 0.06315 0.09010 0.19518 999.00000 0.00368 999.00000 0.00179 0.06752 0.12108 0.11835
NM_001043526.1  0.08717 0.02752 0.05733 0.00193 0.03363 0.03230 471.78117 0.01644 999.00000 0.01623 0.03497 0.01117 0.04323
NM_001043530.2  999.00000 0.00829 999.00000 999.00000 0.03931 0.05551 999.00000 0.09619 999.00000 0.03953 0.04332 0.09657 0.00603
NM_001043531.1  0.01226 0.01240 0.06737 0.02484 0.00432 0.01201 0.01561 0.02002 0.02452 0.00970 0.00941 0.01315 0.00961
NM_001043532.1  0.06314 0.05290 0.13728 0.09573 0.06144 0.03018 770.57757 0.07693 0.05202 0.07126 0.06772 0.09102 0.03042
NM_001043534.1  0.01627 0.05966 0.03717 0.01699 0.25201 0.04408 999.00000 0.02507 0.00010 0.02164 0.00558 0.29243 0.03537
NM_001043535.2  999.00000 0.02552 0.00109 999.00000 0.04966 0.03822 999.00000 0.04248 0.11145 0.12561 0.02052 0.05742 0.03945
NM_001043542.1  999.00000 0.01498 0.00266 0.00010 0.00227 568.44746 999.00000 0.02452 0.00010 432.39321 0.00118 0.01058 0.03395
NM_001043543.1  0.03580 0.04300 0.00681 0.01592 0.02796 0.04285 0.02129 0.02078 0.00010 0.03366 0.01999 0.02150 0.02857
NM_001043549.1  0.05868 0.05607 0.05461 0.02904 0.05110 0.04405 999.00000 0.05349 999.00000 0.03749 0.04552 0.04389 0.04282
NM_001043553.1  0.22248 0.04564 43.19109 0.01939 0.01271 0.04636 999.00000 0.02855 157.44961 0.02105 0.00581 0.04569 0.04739
NM_001043568.1  44.87148 0.07621 40.64625 327.94212 0.00188 0.00614 999.00000 0.01468 0.16822 0.02710 0.13796 0.01865 0.01399
NM_001043583.1  0.10574 0.01474 0.00010 312.50234 0.02538 0.04254 0.00010 0.08230 0.05683 0.01524 0.04579 0.08806 0.04579
NM_001043585.1  453.22876 0.01260 430.50712 0.00476 0.07513 0.01043 74.18713 0.02981 0.00010 0.02299 0.05365 0.00405 0.03735
NM_001043587.1  0.00010 0.01925 999.00000 999.00000 0.01463 0.06556 999.00000 0.05349 999.00000 0.04229 0.01082 0.04212 0.04982
NM_001043589.1  0.02923 0.06456 0.02106 999.00000 0.02157 0.06192 69.32181 0.02353 345.11323 0.01666 0.03501 0.04851 0.04138
NM_001043594.1  0.00010 0.01792 0.00498 0.00010 0.06954 0.01371 0.02757 0.02120 607.69404 0.01527 0.00349 0.01038 0.01520
NM_001043595.1  0.00010 0.00582 0.00785 0.04782 0.02302 0.00345 0.00010 0.03502 0.00182 0.01603 0.00454 0.01582 0.04191
NM_001043609.2  0.01183 0.04538 999.00000 999.00000 0.10970 0.06474 999.00000 0.06451 999.00000 0.01997 0.35829 0.04183 0.10860
NM_001043610.1  0.24059 0.03227 0.01392 0.34740 0.02908 0.04162 0.00862 0.02897 0.12164 0.04512 0.05020 0.01409 0.01949
NM_001043619.1  999.00000 0.07140 999.00000 41.00340 0.00051 0.06294 999.00000 0.08291 999.00000 0.01802 0.00093 0.04674 0.06390
NM_001043622.1  0.00010 0.01673 0.01126 0.00010 0.00010 0.00199 0.23279 0.00592 0.01655 0.00010 0.00010 0.00733 0.02074
NM_001043625.1  0.00010 0.03247 875.15811 999.00000 0.03715 0.00384 999.00000 0.00944 999.00000 0.00315 0.05398 0.21207 0.07346
NM_001043629.1  320.29519 0.00981 0.00622 229.01381 0.01173 0.02679 0.00305 0.00929 377.39146 0.00487 0.03470 0.01275 0.00108
NM_001043634.1  0.31554 0.10326 0.20427 0.24085 0.14537 0.13758 999.00000 0.10887 0.05776 0.12250 0.21925 0.14704 0.17579
NM_001043637.1  0.00084 0.02460 0.00256 0.00010 0.00750 570.83517 89.02748 0.02234 0.00290 0.03283 0.02860 112.93071 0.02218
NM_001043643.1  0.00010 0.05374 999.00000 0.00010 0.04209 0.04694 0.00010 0.04531 0.00010 0.03764 0.19895 0.23319 0.03046
NM_001043646.1  0.00010 0.00689 0.00010 0.00010 0.01299 0.00367 0.00010 0.02008 0.00010 0.00010 0.00832 0.01486 0.00299
NM_001043649.1  0.00010 0.00728 999.00000 0.00010 0.00010 0.00010 0.00010 0.00010 0.00010 0.00010 0.01674 0.00010 0.00010
NM_001043655.1  244.94633 0.06073 999.00000 0.00131 0.03265 830.77878 999.00000 0.03961 0.08606 0.03744 999.00000 0.07044 0.00129
NM_001043658.1  0.00010 0.02679 0.05697 999.00000 0.03392 0.01539 0.04515 0.01909 0.10068 0.00633 0.01835 0.01082 0.03909
NM_001043661.1  0.06862 0.00114 0.04131 0.04835 0.01240 0.02510 0.00010 0.01450 0.15754 0.01831 0.01078 0.01010 0.00653
NM_001043670.1  0.09410 0.01231 0.17416 0.04408 0.01635 0.03163 0.00010 0.03075 0.04565 0.01057 0.02699 0.03891 0.03463
NM_001043673.1  999.00000 0.01440 0.00010 0.04409 0.00010 0.00629 0.00010 0.02693 0.00010 0.01253 0.00367 0.02290 0.02321
NM_001043676.1  0.66750 0.00010 999.00000 0.01589 0.00010 0.00587 0.00010 0.00674 0.00010 0.00010 0.00955 0.01334 0.00010
NM_001043685.1  0.03807 0.02828 0.00010 0.05864 0.01375 0.01320 999.00000 0.01025 0.00010 0.07390 0.01840 0.04529 0.02137
NM_001043688.1  0.00487 0.00553 999.00000 0.00966 0.08942 0.01529 0.00010 0.01857 0.12672 0.02327 0.02723 0.01077 0.02108
NM_001043691.1  0.03322 0.05222 0.02952 0.00010 0.01771 0.03565 0.05946 0.01257 0.22412 0.01557 0.01135 0.02416 0.06601
NM_001043694.1  0.01244 0.10039 999.00000 0.02868 0.03003 0.09593 999.00000 0.06700 0.00483 0.00010 0.11614 0.03122 0.11846
NM_001043706.1  0.19072 0.12816 0.12390 0.15372 0.06918 0.03157 0.17343 0.09117 0.21055 0.07350 0.08358 0.05147 0.08874
NM_001043712.1  0.00010 0.00086 0.00010 4.56541 0.04791 0.50813 47.52747 0.03363 0.00010 0.00114 100.28130 0.00287 0.00153
NM_001043721.1  0.02658 0.02996 8.23662 0.04466 0.03356 0.01204 0.00010 0.00280 0.01868 0.01717 0.12420 0.05376 0.16875
NM_001043724.1  0.14518 0.01374 0.00010 0.07059 0.01621 0.02108 0.00010 0.00753 0.00799 0.00365 0.01758 0.02108 0.00698
NM_001043730.1  999.00000 0.11559 0.02232 813.90266 0.01130 0.02851 999.00000 0.07103 0.01175 0.04967 0.01933 0.10844 0.01875
NM_001043746.1  0.02423 0.01542 0.03441 0.02048 0.00532 0.04467 236.74601 0.03692 130.61996 0.01778 0.02442 0.01446 0.04244
NM_001043750.2  0.00010 0.00655 0.00010 0.00010 0.00010 0.00010 0.00010 0.00010 0.00010 0.06784 0.00919 0.00010 0.00010
NM_001043752.1  0.00010 0.01301 0.02400 0.01745 0.01763 0.02246 0.00010 0.01439 0.06342 0.03274 0.02026 0.02039 0.03135
NM_001043754.1  0.00010 0.02112 0.00010 0.23141 0.00610 0.01835 0.00010 0.01852 0.00010 0.01989 0.01847 0.03892 0.00717
NM_001043756.4  0.00010 0.00010 0.00010 0.00010 0.00813 0.00641 0.00010 0.00010 0.04405 0.00010 0.00010 0.00602 0.01013
NM_001043758.1  0.03427 0.03161 0.21111 0.02210 0.04089 0.02241 999.00000 0.02353 999.00000 0.02203 0.01934 0.04774 0.00010
NM_001043760.1  0.49380 0.00479 999.00000 0.00968 0.00010 0.01275 0.00010 0.00384 986.88858 0.02637 0.00966 0.01539 0.02039
NM_001043762.1  0.00010 0.00010 0.00010 0.00010 0.00010 0.00010 0.00010 0.00010 0.00010 0.00010 0.00010 0.00826 0.00010
NM_001043766.1  999.00000 0.00664 999.00000 0.27165 0.02013 0.00912 0.00010 0.01211 0.00010 0.02167 0.01287 0.01816 0.00444
NM_001043776.1  0.00010 0.00345 0.00010 0.00522 0.02637 0.00847 0.00810 0.00712 0.00010 0.00884 0.00010 0.00164 0.00315
NM_001043780.1  0.00010 0.00786 0.46321 0.00010 0.02376 0.02947 0.00010 0.00738 0.00010 0.00010 0.06709 0.02233 0.02025
NM_001043788.1  999.00000 0.00459 0.00010 0.00010 0.00010 0.00340 0.00010 0.00675 0.00010 0.00509 0.00869 0.00010 0.00010
NM_001043790.1  0.05924 0.01469 0.04483 0.00010 0.01163 0.02525 0.00010 0.00898 0.00803 0.01871 0.00669 0.01242 0.00549
NM_001043792.1  399.21154 0.00147 999.00000 453.97372 0.02522 0.00136 999.00000 0.00010 9.40742 0.00010 0.00304 0.00771 0.00014
NM_001043798.1  0.05283 0.01181 0.00010 0.00010 0.07505 0.01565 0.00010 0.03428 0.04553 0.02532 0.00425 0.01194 0.03556
NM_001043800.1  0.03447 0.00410 5.75446 0.00010 0.00010 0.00010 0.00010 0.00010 0.00010 0.00389 0.00010 0.01070 0.00010
NM_001043802.1  0.00010 0.01331 0.01415 0.00010 0.00010 0.01087 0.00010 0.00345 0.00010 0.00010 0.01981 0.00920 0.00010
NM_001043804.2  0.00010 0.00547 0.00010 0.00010 0.00010 0.00010 0.00010 0.00010 0.00010 0.00797 0.00010 0.01244 0.00010
NM_001043808.1  0.00010 0.00010 0.00010 0.07075 0.00010 0.00010 0.00010 0.00010 0.03576 0.00800 0.00010 0.00833 0.01577
NM_001043824.1  440.16970 0.02125 0.00399 0.00010 0.01351 0.01343 0.00010 0.03959 999.00000 0.00374 0.04548 0.04749 0.00126
NM_001043832.1  0.00010 0.03738 0.01767 17.62659 0.00148 0.21600 0.00010 0.13346 11.70951 0.00141 0.25539 0.04202 0.07684
NM_001043834.1  896.46045 0.02520 0.00969 999.00000 0.07012 0.00137 0.06785 0.03451 999.00000 0.04603 0.01370 0.05570 0.02441
NM_001043836.1  0.30711 0.03783 0.00010 0.00010 0.02292 0.01393 0.00010 0.06695 0.08854 0.06534 0.00619 0.02990 0.08560
NM_001043844.1  999.00000 0.05577 0.14350 0.06279 0.09310 0.06667 999.00000 0.06215 0.02980 0.08185 0.06599 0.04696 0.10045
NM_001043850.1  999.00000 0.00969 0.02997 0.01136 0.00784 0.01377 0.02098 0.04032 999.00000 0.00643 0.01854 0.03799 0.01596
NM_001043858.1  26.73100 0.03416 275.03456 744.58750 0.01388 0.01715 0.00010 0.00441 0.03632 0.01725 0.01757 0.01211 0.05274
NM_001043860.1  267.15534 0.01770 999.00000 0.18066 0.01850 0.01144 424.36393 0.01801 282.44612 0.02160 0.01803 0.02395 0.02713
NM_001043864.1  0.00010 0.01709 0.00010 0.00150 0.14612 0.01842 0.01950 0.03808 0.00447 0.01374 0.00826 0.00800 0.01990
NM_001043870.1  999.00000 0.02661 358.97043 999.00000 0.03940 0.02679 999.00000 0.02568 999.00000 0.01610 0.02272 0.01698 0.00685
NM_001043872.1  0.00657 0.01970 798.38646 0.00577 0.02229 0.01882 527.28811 0.06520 0.00787 0.02884 0.01501 0.00555 0.03042
NM_001043874.1  0.00010 0.01550 0.01027 999.00000 0.01300 0.02359 0.00010 0.02685 999.00000 0.02970 0.00942 0.00885 0.00955
NM_001043876.1  999.00000 0.02413 0.49499 0.02869 0.02320 0.02687 0.00010 0.03922 0.02052 0.01829 0.01827 0.00936 0.01782
NM_001043878.2  999.00000 0.03624 0.01495 0.02999 0.03805 0.03653 0.03422 0.03150 999.00000 0.02481 0.02217 0.17413 0.01363
NM_001043880.1  0.00010 0.01476 0.04282 999.00000 0.00751 0.00844 0.00010 0.01289 0.08858 0.01807 0.01486 0.01556 0.01704
NM_001043882.1  33.59096 0.02586 984.23786 115.29471 0.02385 0.03135 0.28547 0.01859 0.03221 0.00663 0.04521 0.02941 0.01165
NM_001043899.2  0.02903 0.04589 0.00010 0.01843 0.15524 0.01301 0.00010 0.01979 0.11222 0.00027 0.01397 0.10874 0.01782
NM_001043913.1  0.52863 0.00128 0.01249 0.05260 0.03294 0.01476 0.03960 0.03183 0.07982 0.01587 0.01920 0.02414 0.04210
NM_001043917.1  5.50034 0.02997 0.03336 0.02307 0.02486 0.04166 70.48156 0.04157 0.00994 0.06817 0.03328 0.02652 0.00640
