GeneID L_accius P_sennae L_sinapis C_cecrops D_plexippus H_melpomene P_machaon B_mori
NM_001043315.1 0.020126 0.017800 0.036970 0.023229 0.014552 0.019462 0.042070 0.057993
NM_001043369.1 0.114775 0.075436 0.127194 0.110709 0.167131 0.127685 0.092515 0.126377
NM_001043371.1 0.150404 0.094524 0.093114 0.195604 0.107875 0.077811 0.080886 0.126652
NM_001043372.1 0.404610 0.002885 0.009459 0.006023 0.006912 0.000950 0.004327 0.013463
NM_001043375.1 0.235456 0.059693 0.047509 0.294803 0.126224 0.140758 0.499698 0.028058
NM_001043382.1 0.031447 0.032104 0.038586 0.048372 0.019940 0.069623 0.057246 0.075617
NM_001043383.2 0.017074 0.003940 0.013103 0.006030 0.017807 0.013992 0.005048 0.022604
NM_001043387.1 0.044330 0.026835 0.037008 0.064749 0.051340 0.025584 0.042449 0.038004
NM_001043388.1 0.033617 0.024483 0.064680 0.075483 0.016764 0.057917 0.035347 0.065168
NM_001043395.1 0.039476 0.034670 0.037417 0.051992 0.019864 0.022514 0.041758 0.033379
NM_001043411.1 0.009001 0.015153 0.018853 0.007942 0.011445 0.008273 0.018189 0.013239
NM_001043413.1 0.095209 0.070232 0.145934 0.176676 0.156382 0.086398 0.102242 0.224926
NM_001043416.1 0.073581 0.031959 0.053096 0.037840 0.019931 0.031201 0.045840 0.135208
NM_001043419.1 0.000022 0.015231 0.000117 0.005254 0.001738 0.000270 0.017129 0.000000
NM_001043432.1 0.040896 0.000121 0.016569 0.069528 0.008151 0.007953 0.000046 0.000065
NM_001043436.1 0.151506 0.262933 0.149293 0.190654 0.062605 0.212525 0.127873 0.146556
NM_001043437.1 0.108824 0.050302 0.137774 0.129852 0.078310 0.077201 0.110050 0.097069
NM_001043444.1 0.030925 0.029480 0.042878 0.052632 0.036716 0.018567 0.026788 0.050426
NM_001043447.1 0.055258 0.023262 0.070050 0.060332 0.022182 0.042364 0.023262 0.032800
NM_001043449.1 0.081407 0.122923 0.134955 0.080076 0.094185 0.122138 0.074261 0.097967
NM_001043452.1 0.021158 0.032240 0.024169 0.036160 0.009876 0.050348 0.040848 0.032360
NM_001043453.1 0.018602 0.020673 0.022352 0.032131 0.019803 0.013679 0.078395 0.017123
NM_001043464.1 0.038102 0.030092 0.072724 0.039902 0.026670 0.049184 0.055918 0.085401
NM_001043468.1 0.083476 0.045037 0.062025 0.108129 0.037887 0.052843 0.064392 0.087731
NM_001043469.1 0.112746 0.084421 0.126552 0.132526 0.094420 0.117490 0.092733 0.133369
NM_001043473.1 0.071407 0.047278 0.068192 0.063183 0.089304 0.076035 0.046763 0.119751
NM_001043475.1 0.048558 0.013606 0.066192 0.111097 0.120763 0.093941 0.037964 0.061026
NM_001043480.1 0.185547 0.105123 0.099459 0.309748 0.290975 0.147024 0.153973 0.157289
NM_001043482.1 0.116216 0.074691 0.059659 0.277917 0.093471 0.118916 0.074315 0.190960
NM_001043485.1 0.016473 0.028661 0.059773 0.087213 0.044688 0.034531 0.009191 0.045713
NM_001043492.1 0.016222 0.029696 0.027592 0.013669 0.023861 0.022045 0.032803 0.009811
NM_001043494.1 0.017909 0.044411 0.396151 0.023120 0.013982 0.021154 0.411641 0.012025
