gene_ID subst L_accius P_sennae L_sinapis C_cecrops D_plexippus H_melpomene P_machaon B_mori
NM_001043315.1 dS.dnd 0.606082 0.389342 0.59165 0.553426 0.565136 0.570895 0.536722 0.350889
NM_001043315.1 dN.dnd 0.0264691 0.0230922 0.0406934 0.0269423 0.016861 0.0197287 0.0481453 0.0275879
NM_001043369.1 dS.dnd 0.592118 0.427033 0.664156 0.652816 0.635201 0.545966 0.55565 0.352856
NM_001043369.1 dN.dnd 0.107786 0.0733336 0.111548 0.10661 0.137605 0.112324 0.0902822 0.0558157
NM_001043375.1 dN.dnd 0.210198 0.0720462 0.0338018 0.207106 0.108068 0.112452 0.308551 0.0402939
NM_001043375.1 dS.dnd 0.560476 0.447489 0.770744 0.657229 0.521708 0.646459 0.742477 0.342876
NM_001043383.2 dN.dnd 0.0177094 0.00464311 0.0137641 0.00748562 0.018171 0.0148926 0.00562595 0.0111279
NM_001043383.2 dS.dnd 0.52494 0.427353 0.548961 0.639072 0.556159 0.480805 0.567974 0.322344
NM_001043387.1 dS.dnd 0.381983 0.229832 0.569309 0.584687 0.379168 0.439307 0.34383 0.325225
NM_001043387.1 dN.dnd 0.0557112 0.0297128 0.0420586 0.0692597 0.0562131 0.0306768 0.0516624 0.0205441
NM_001043388.1 dS.dnd 0.571148 0.415445 0.538018 0.61453 0.504045 0.470282 0.53323 0.304256
NM_001043388.1 dN.dnd 0.0385048 0.0275094 0.0578466 0.0674063 0.0207529 0.0522643 0.0354008 0.030434
NM_001043395.1 dN.dnd 0.0400946 0.0336903 0.0371646 0.0509761 0.0202724 0.022387 0.0436482 0.018149
NM_001043395.1 dS.dnd 0.594412 0.475741 0.541767 0.654898 0.539256 0.492517 0.628006 0.315509
NM_001043411.1 dN.dnd 0.00890211 0.0144513 0.0201708 0.0101344 0.0129835 0.00888781 0.0179727 0.00820745
NM_001043411.1 dS.dnd 0.437241 0.346047 0.570115 0.562775 0.530178 0.471517 0.484663 0.31425
NM_001043413.1 dS.dnd 0.575739 0.297022 0.613788 0.544424 0.58519 0.523116 0.504188 0.315399
NM_001043413.1 dN.dnd 0.0900715 0.0772762 0.127436 0.161459 0.13502 0.0905697 0.101667 0.0948183
NM_001043416.1 dN.dnd 0.0718233 0.0328459 0.0489074 0.037612 0.0200162 0.0297367 0.044439 0.0620749
NM_001043416.1 dS.dnd 0.566095 0.42961 0.710836 0.464662 0.656704 0.537338 0.441123 0.329944
NM_001043432.1 dN.dnd 0.0442104 0.00372231 0.0126244 0.0612346 0.00840161 0.00837969 0.000827092 0.000508276
NM_001043432.1 dS.dnd 0.392213 0.393042 0.584515 0.411677 0.267264 0.204443 0.305452 0.308306
NM_001043437.1 dS.dnd 0.572991 0.407663 0.546419 0.595948 0.506383 0.57828 0.589692 0.356523
NM_001043437.1 dN.dnd 0.10814 0.054248 0.123708 0.130284 0.0763064 0.0776437 0.113681 0.0512169
NM_001043444.1 dS.dnd 0.606821 0.460155 0.57317 0.6706 0.626768 0.532503 0.600218 0.341407
NM_001043444.1 dN.dnd 0.0315471 0.0300229 0.0430661 0.0541027 0.0374411 0.0242794 0.0299197 0.0246255
NM_001043447.1 dN.dnd 0.0551052 0.0274477 0.067531 0.0595359 0.0242217 0.0392939 0.0272024 0.0179503
NM_001043447.1 dS.dnd 0.56781 0.414855 0.562488 0.609056 0.535106 0.646914 0.59823 0.432805
NM_001043449.1 dN.dnd 0.0861927 0.117859 0.125404 0.080712 0.0928801 0.111852 0.0748921 0.0474945
NM_001043449.1 dS.dnd 0.500208 0.433531 0.621265 0.549288 0.565558 0.607755 0.675095 0.312105
NM_001043452.1 dS.dnd 0.565042 0.431434 0.572392 0.617722 0.624852 0.562794 0.516949 0.386336
NM_001043452.1 dN.dnd 0.0228709 0.0295245 0.0256057 0.03848 0.0163636 0.0429559 0.0378226 0.0169936
NM_001043453.1 dS.dnd 0.392129 0.315508 0.533398 0.458536 0.507499 0.579057 0.525125 0.223801
NM_001043453.1 dN.dnd 0.0230326 0.0217693 0.0245453 0.0354725 0.0205212 0.015097 0.0738888 0.0117563
NM_001043464.1 dN.dnd 0.0391297 0.0286034 0.0669501 0.0412092 0.0287222 0.0470683 0.0568652 0.0402293
NM_001043464.1 dS.dnd 0.564729 0.495998 0.640596 0.647085 0.55771 0.564719 0.594922 0.34302
NM_001043468.1 dS.dnd 0.600892 0.486891 0.667211 0.671457 0.590883 0.507462 0.598532 0.314483
NM_001043468.1 dN.dnd 0.0798708 0.0451227 0.0599014 0.0999682 0.0396068 0.0494996 0.0626259 0.0422061
NM_001043469.1 dS.dnd 0.638191 0.443754 0.594096 0.627044 0.479895 0.455648 0.587222 0.311711
NM_001043469.1 dN.dnd 0.104385 0.0777217 0.110684 0.116524 0.0825086 0.102197 0.0854437 0.0599871
NM_001043473.1 dN.dnd 0.0708427 0.0470483 0.0656591 0.0646687 0.0825358 0.0717401 0.0509004 0.0521337
NM_001043473.1 dS.dnd 0.532712 0.397704 0.528906 0.564149 0.566294 0.546758 0.542684 0.369097
NM_001043475.1 dN.dnd 0.0457606 0.0124338 0.0591874 0.0967232 0.0998683 0.079921 0.0356364 0.0303872
NM_001043475.1 dS.dnd 0.501158 0.428156 0.467219 0.612449 0.47772 0.46897 0.585568 0.326155
NM_001043480.1 dS.dnd 0.567216 0.427533 0.591355 0.596681 0.616709 0.567307 0.538938 0.338121
NM_001043480.1 dN.dnd 0.162358 0.0988887 0.0982229 0.247489 0.221513 0.131013 0.138538 0.0717967
NM_001043485.1 dN.dnd 0.0194213 0.0300548 0.0570305 0.0846876 0.0463925 0.0327537 0.015343 0.0221632
NM_001043485.1 dS.dnd 0.405239 0.377309 0.557485 0.498602 0.533604 0.464007 0.440097 0.31065
NM_001043492.1 dN.dnd 0.0188163 0.0323767 0.0290712 0.0158694 0.0258959 0.0226713 0.0355024 0.00717257
NM_001043492.1 dS.dnd 0.658291 0.412391 0.638836 0.698791 0.475437 0.669135 0.459215 0.35832
NM_001043506.1 dN.dnd 0.0283012 0.0287113 0.0300012 0.0608601 0.0303176 0.0221509 0.0336551 0.0232342
NM_001043506.1 dS.dnd 0.685272 0.336902 0.520571 0.544443 0.49756 0.55137 0.569336 0.37267
NM_001043507.1 dN.dnd 0.0213462 0.00530682 0.00380541 0.00776092 0.0112202 0.000369047 0.0114021 0.0176436
NM_001043507.1 dS.dnd 0.368876 0.208649 0.503091 0.493289 0.354828 0.252776 0.441796 0.270066
NM_001043508.1 dN.dnd 0.00976343 0.0027965 0.00056099 0.00628995 0.00086535 0.000705517 0.00614951 0.0113868
NM_001043508.1 dS.dnd 0.579722 0.374037 0.592368 0.598593 0.500944 0.375457 0.479168 0.319179
